Name,Min,Cmp,PassAtt,Cmp%,PassTotDist,PassPrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,PassFinThird,PPA,CrsPA,PassProg,SCA,PassLiveShot,PassDeadShot,DribShot,ShLSh,Fld,DefShot,GCA,PassLiveGoal,PassDeadGoal,DribGoal,ShGoal,FldGoal,DefGoal,Tkl,TklW,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTackled,DribContest,DribTackled%,Past,Press,SuccPress,SuccPress%,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,BlockSh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,TouchDef3rd,TouchMid3rd,TouchAtt3rd,AttPen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,ProgCarries,CarriesFinThird,CPA,Mis,Dis,Targ,Rec,Rec%,ProgPassRec,Gls,PK,PKatt,Sh,SoT,CrdY,CrdR,xG,npxG,rating21,Position,IsLowInvolvement
Aaron Connolly,791.0,79.0,101.0,1327.5,1147.0,165.0,45.0,56.0,1234.0,26.0,30.0,1076.7,4.0,5.0,400.0,1.0,0.1,5.0,2.0,1.0,0.0,3.0,12.0,7.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,4.0,1.0,1.0,5.0,50.0,4.0,124.0,40.0,475.7,7.0,58.0,59.0,9.0,1.0,0.0,8.0,0.0,7.0,1.0,0.0,201.0,1.0,14.0,84.0,116.0,38.0,191.0,8.0,10.0,600.0,8.0,0.0,124.0,655.0,387.0,17.0,8.0,4.0,29.0,15.0,357.0,143.0,737.7,66.0,2.0,0.0,0.0,23.0,8.0,0.0,0.0,3.6,3.6,70.0,Low Involvement,True
Aaron Cresswell,3170.0,1541.0,2060.0,2665.5,30884.0,14764.0,655.0,735.0,3197.4,616.0,736.0,2971.6,252.0,518.0,1734.3,8.0,5.7,60.0,149.0,24.0,17.0,120.0,96.0,48.0,41.0,1.0,4.0,2.0,0.0,14.0,5.0,6.0,0.0,2.0,1.0,0.0,31.0,13.0,15.0,14.0,2.0,14.0,34.0,925.0,20.0,230.0,67.0,1055.1,122.0,90.0,18.0,48.0,14.0,0.0,34.0,36.0,67.0,99.0,0.0,2307.0,182.0,767.0,1053.0,594.0,18.0,1861.0,6.0,15.0,500.0,8.0,2.0,1266.0,5387.0,2617.0,97.0,40.0,3.0,7.0,9.0,1366.0,1318.0,3459.9,30.0,0.0,0.0,0.0,19.0,4.0,3.0,0.0,1.0,1.0,77.0,Defender,False
Aaron Ramsey,1089.0,626.0,732.0,1858.5,10686.0,2564.0,305.0,340.0,1898.8,245.0,282.0,1885.7,63.0,85.0,1653.7,4.0,3.6,30.0,59.0,22.0,4.0,59.0,58.0,46.0,5.0,2.0,1.0,3.0,1.0,7.0,5.0,0.0,0.0,0.0,1.0,1.0,24.0,16.0,8.0,14.0,2.0,5.0,24.0,316.6,19.0,225.0,73.0,605.0,54.0,108.0,63.0,14.0,2.0,0.0,12.0,6.0,30.0,9.0,1.0,862.0,17.0,122.0,446.0,352.0,71.0,840.0,12.0,19.0,900.0,12.0,1.0,619.0,3261.0,1471.0,79.0,22.0,9.0,24.0,10.0,821.0,702.0,1869.6,113.0,2.0,0.0,0.0,23.0,10.0,2.0,0.0,5.0,5.0,82.0,Midfielder,False
Aaron Wan-Bissaka,3060.0,1775.0,2065.0,2910.6,26841.0,9551.0,1008.0,1094.0,3131.3,665.0,760.0,2977.2,71.0,125.0,1807.1,4.0,2.3000000000000003,30.0,88.0,33.0,14.0,125.0,57.0,50.0,1.0,2.0,1.0,0.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,97.0,52.0,60.0,30.0,7.0,21.0,40.0,1109.9,19.0,434.0,140.0,1123.5,195.0,169.0,70.0,113.0,17.0,0.0,96.0,66.0,163.0,108.0,0.0,2511.0,122.0,809.0,1127.0,741.0,39.0,2226.0,40.0,66.0,1776.6,43.0,2.0,1536.0,7996.0,4541.0,211.0,79.0,3.0,17.0,25.0,1634.0,1521.0,3149.9,83.0,2.0,0.0,0.0,8.0,4.0,3.0,0.0,0.7,0.7,83.0,Defender,False
Aarón Martín,1802.0,813.0,1031.0,1858.8,14014.0,4680.0,389.0,427.0,2192.9,330.0,408.0,1925.1,76.0,154.0,997.5,3.0,1.5,12.0,40.0,13.0,8.0,51.0,18.0,13.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,37.0,14.0,20.0,15.0,2.0,14.0,40.0,574.9,26.0,225.0,59.0,567.3,90.0,110.0,25.0,28.0,4.0,0.0,24.0,20.0,57.0,51.0,0.0,1213.0,58.0,353.0,596.0,322.0,18.0,1010.0,20.0,31.0,1118.3,20.0,0.0,748.0,3100.0,1601.0,89.0,28.0,4.0,10.0,12.0,831.0,732.0,2080.6,48.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.3,0.3,70.0,Midfielder,False
Abdallahi Mahmoud,66.0,13.0,18.0,133.3,194.0,61.0,6.0,8.0,133.3,5.0,6.0,100.0,1.0,2.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,100.0,1.0,14.0,4.0,84.9,5.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,24.0,0.0,6.0,14.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,14.0,2.0,0.0,0.0,0.0,1.0,18.0,11.0,141.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,Low Involvement,True
Abdou Diallo,1490.0,1109.0,1191.0,2058.3,20618.0,7433.0,474.0,491.0,2120.5,498.0,521.0,2100.5,127.0,161.0,1332.6,1.0,0.5,1.0,72.0,5.0,2.0,75.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,13.0,8.0,2.0,8.0,14.0,600.0,6.0,126.0,41.0,799.4,56.0,59.0,11.0,23.0,8.0,0.0,15.0,17.0,40.0,46.0,2.0,1335.0,123.0,539.0,764.0,129.0,7.0,1264.0,20.0,35.0,833.8,23.0,0.0,980.0,4691.0,2825.0,77.0,20.0,0.0,11.0,4.0,1022.0,995.0,2144.8,10.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,0.3,0.3,78.0,Midfielder,False
Abdoul Kader Bamba,917.0,371.0,494.0,2066.7,6170.0,1750.0,202.0,229.0,2357.4,127.0,165.0,2084.2,33.0,66.0,1043.8,1.0,1.8,23.0,25.0,10.0,2.0,34.0,42.0,27.0,7.0,4.0,0.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,19.0,13.0,7.0,8.0,4.0,6.0,15.0,600.0,9.0,154.0,50.0,895.6,41.0,79.0,34.0,13.0,0.0,0.0,13.0,7.0,26.0,3.0,0.0,629.0,5.0,78.0,303.0,291.0,38.0,586.0,36.0,57.0,1323.3,39.0,2.0,481.0,2293.0,1347.0,71.0,13.0,16.0,21.0,19.0,572.0,447.0,2168.1,73.0,3.0,0.0,1.0,14.0,6.0,2.0,0.0,2.7,1.9,72.0,Midfielder,False
Abdoulay Diaby,18.0,5.0,10.0,50.0,69.0,11.0,4.0,5.0,80.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,17.0,0.0,1.0,5.0,14.0,3.0,17.0,0.0,1.0,0.0,0.0,0.0,12.0,106.0,87.0,2.0,3.0,0.0,0.0,1.0,14.0,13.0,92.9,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,63.0,Low Involvement,True
Abdoulaye Bamba,1347.0,670.0,875.0,1205.7,11398.0,5476.0,342.0,376.0,1450.9,264.0,336.0,1244.9,56.0,129.0,656.8,0.0,1.3,12.0,40.0,14.0,8.0,54.0,21.0,18.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,17.0,20.0,9.0,2.0,10.0,20.0,633.3,10.0,171.0,60.0,539.7,96.0,50.0,25.0,24.0,1.0,0.0,23.0,18.0,49.0,42.0,1.0,999.0,38.0,310.0,513.0,218.0,8.0,811.0,5.0,12.0,333.3,7.0,1.0,576.0,1988.0,1032.0,34.0,17.0,2.0,8.0,6.0,625.0,574.0,1460.6,25.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,73.0,Midfielder,False
Abdoulaye Doucouré,2443.0,1146.0,1332.0,2446.0,20026.0,4093.0,517.0,588.0,2514.7,482.0,534.0,2589.8,117.0,147.0,2127.3,3.0,2.3000000000000003,18.0,69.0,21.0,1.0,65.0,41.0,36.0,1.0,1.0,1.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,56.0,42.0,30.0,19.0,7.0,17.0,45.0,883.4,28.0,544.0,158.0,885.4,228.0,219.0,97.0,43.0,9.0,0.0,34.0,35.0,91.0,29.0,1.0,1578.0,62.0,463.0,880.0,347.0,39.0,1565.0,17.0,28.0,926.7,18.0,2.0,968.0,4877.0,2436.0,81.0,33.0,1.0,30.0,30.0,1203.0,1064.0,2530.2,79.0,2.0,0.0,0.0,18.0,5.0,6.0,0.0,2.0,2.0,78.0,Defender,False
Abdoulaye Sidibé,11.0,1.0,2.0,50.0,12.0,12.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,8.0,2.0,25.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,8.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,Low Involvement,True
Abdoulaye Sylla,8.0,3.0,6.0,50.0,49.0,3.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,9.0,1.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,Low Involvement,True
Abdoulaye Touré,1681.0,799.0,939.0,2190.0,14791.0,3271.0,328.0,380.0,2140.7,363.0,415.0,2282.5,94.0,121.0,1950.7,2.0,1.7000000000000002,16.0,85.0,7.0,0.0,71.0,39.0,32.0,0.0,2.0,2.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,14.0,12.0,4.0,6.0,29.0,350.0,23.0,283.0,76.0,649.4,73.0,161.0,49.0,28.0,6.0,0.0,22.0,16.0,46.0,26.0,0.0,1145.0,37.0,203.0,770.0,236.0,21.0,1140.0,17.0,32.0,958.4,20.0,3.0,748.0,3197.0,1540.0,75.0,28.0,0.0,20.0,20.0,905.0,823.0,2556.8,27.0,2.0,1.0,1.0,26.0,4.0,2.0,0.0,2.4000000000000004,1.6,75.0,Midfielder,False
Abdul Majeed Waris,552.0,106.0,140.0,997.5,1595.0,220.0,63.0,76.0,1063.2,33.0,39.0,780.6,7.0,13.0,350.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,6.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,55.0,15.0,409.0,16.0,25.0,14.0,5.0,1.0,0.0,4.0,3.0,4.0,3.0,0.0,219.0,4.0,27.0,105.0,108.0,23.0,217.0,8.0,15.0,533.3,8.0,1.0,170.0,931.0,621.0,34.0,15.0,6.0,11.0,18.0,262.0,171.0,872.7,47.0,1.0,1.0,1.0,9.0,2.0,0.0,0.0,1.6,0.8999999999999999,73.0,Low Involvement,True
Aboubakar Kamara,872.0,205.0,279.0,1557.6,3202.0,728.0,105.0,128.0,1668.8,69.0,88.0,1356.4,15.0,38.0,638.7,0.0,1.2,14.0,8.0,9.0,4.0,20.0,29.0,19.0,0.0,5.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,1.0,1.0,11.0,50.0,10.0,183.0,34.0,418.4,22.0,85.0,76.0,11.0,1.0,0.0,10.0,3.0,8.0,5.0,0.0,411.0,4.0,34.0,202.0,210.0,23.0,399.0,19.0,33.0,832.1,19.0,1.0,307.0,1412.0,766.0,41.0,13.0,2.0,28.0,28.0,473.0,308.0,1423.3,56.0,1.0,0.0,0.0,15.0,5.0,2.0,2.0,1.1,1.1,70.0,Low Involvement,True
Achraf Hakimi,2665.0,1279.0,1550.0,2942.8,20216.0,6794.0,708.0,799.0,3076.9,440.0,513.0,3034.7,97.0,151.0,2288.4,8.0,6.8,36.0,60.0,50.0,21.0,124.0,75.0,59.0,4.0,3.0,0.0,9.0,0.0,18.0,15.0,0.0,0.0,0.0,3.0,0.0,52.0,30.0,26.0,18.0,8.0,24.0,56.0,1221.7,32.0,500.0,145.0,1023.8,183.0,170.0,147.0,40.0,1.0,0.0,39.0,25.0,77.0,28.0,0.0,1863.0,50.0,389.0,716.0,867.0,137.0,1645.0,36.0,67.0,1313.4,40.0,8.0,1255.0,6621.0,4411.0,221.0,51.0,36.0,44.0,33.0,1499.0,1296.0,3111.7,163.0,7.0,0.0,0.0,38.0,15.0,6.0,0.0,4.5,4.5,83.0,Forward,False
Adam Lallana,1596.0,793.0,936.0,2453.4,12397.0,2974.0,413.0,460.0,2674.0,294.0,339.0,2494.3,56.0,83.0,1578.5,1.0,2.9,27.0,58.0,28.0,3.0,83.0,48.0,44.0,0.0,0.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,32.0,26.0,15.0,12.0,5.0,10.0,48.0,460.0,38.0,339.0,113.0,1009.7,112.0,153.0,74.0,26.0,3.0,0.0,23.0,16.0,48.0,14.0,0.0,1106.0,33.0,240.0,556.0,382.0,70.0,1086.0,15.0,24.0,883.3,15.0,0.0,780.0,3552.0,1916.0,81.0,21.0,12.0,18.0,17.0,964.0,812.0,2463.3,102.0,1.0,0.0,0.0,22.0,4.0,0.0,0.0,2.5,2.5,77.0,Midfielder,False
Adam Marušić,2966.0,1352.0,1619.0,2928.8,24779.0,7562.0,593.0,667.0,3166.6,560.0,634.0,3091.1,172.0,256.0,2238.9,3.0,2.1,32.0,68.0,28.0,17.0,90.0,58.0,50.0,1.0,1.0,5.0,0.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,50.0,28.0,29.0,18.0,3.0,19.0,41.0,1183.4,22.0,309.0,93.0,984.4,139.0,117.0,53.0,56.0,6.0,0.0,50.0,48.0,98.0,66.0,1.0,1912.0,111.0,605.0,911.0,550.0,66.0,1721.0,27.0,54.0,1096.6,28.0,1.0,1216.0,7369.0,3968.0,160.0,49.0,10.0,18.0,23.0,1411.0,1241.0,3092.7,107.0,2.0,0.0,0.0,27.0,12.0,3.0,0.0,2.0,2.0,77.0,Defender,False
Adam Ounas,1507.0,472.0,615.0,1669.1,9556.0,2376.0,184.0,217.0,1886.2,194.0,235.0,1665.2,84.0,132.0,1216.1,4.0,4.6,28.0,43.0,36.0,6.0,76.0,57.0,40.0,4.0,9.0,1.0,3.0,0.0,9.0,6.0,1.0,2.0,0.0,0.0,0.0,10.0,5.0,5.0,3.0,2.0,4.0,16.0,300.0,12.0,231.0,42.0,379.9,60.0,108.0,63.0,19.0,2.0,0.0,17.0,14.0,24.0,5.0,0.0,842.0,5.0,111.0,472.0,376.0,58.0,806.0,66.0,95.0,1389.8,68.0,3.0,701.0,4037.0,2529.0,102.0,51.0,17.0,30.0,54.0,796.0,627.0,1752.0,97.0,4.0,0.0,0.0,31.0,10.0,1.0,0.0,3.3000000000000003,3.3000000000000003,74.0,Forward,False
Adam Webster,2594.0,1484.0,1794.0,2360.7,32506.0,11319.0,406.0,468.0,2471.0,799.0,889.0,2567.1,269.0,400.0,1869.8,0.0,0.1,6.0,132.0,7.0,1.0,110.0,20.0,18.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,21.0,18.0,10.0,2.0,14.0,32.0,733.3,18.0,214.0,87.0,1202.1,97.0,93.0,24.0,51.0,21.0,1.0,30.0,40.0,70.0,123.0,0.0,2075.0,235.0,1101.0,1001.0,194.0,33.0,2025.0,7.0,11.0,433.3,9.0,0.0,1352.0,9691.0,6347.0,162.0,55.0,2.0,16.0,14.0,1476.0,1444.0,2819.6,4.0,1.0,0.0,0.0,24.0,6.0,4.0,0.0,1.4,1.4,75.0,Defender,False
Adama Soumaoro,1900.0,937.0,1018.0,2079.2,18829.0,5400.0,300.0,325.0,2018.6,495.0,514.0,2191.2,132.0,161.0,1833.7,0.0,0.0,2.0,25.0,0.0,0.0,37.0,10.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,18.0,24.0,6.0,0.0,6.0,12.0,533.3,6.0,224.0,81.0,809.0,135.0,83.0,6.0,47.0,27.0,0.0,20.0,34.0,64.0,103.0,0.0,1240.0,172.0,642.0,626.0,36.0,11.0,1173.0,3.0,3.0,300.0,3.0,0.0,696.0,3566.0,1719.0,34.0,5.0,0.0,4.0,2.0,746.0,728.0,2236.8,2.0,1.0,0.0,0.0,9.0,2.0,5.0,0.0,1.2,1.2,76.0,Midfielder,False
Adama Traoré,2649.0,579.0,879.0,2376.3,9466.0,2410.0,298.0,384.0,2780.8,211.0,313.0,2467.0,52.0,103.0,1341.5,2.0,5.5,56.0,43.0,26.0,16.0,63.0,113.0,74.0,0.0,21.0,3.0,13.0,2.0,6.0,3.0,0.0,1.0,1.0,1.0,0.0,32.0,23.0,15.0,12.0,5.0,9.0,20.0,583.3,11.0,346.0,107.0,1137.1,78.0,185.0,83.0,28.0,2.0,0.0,26.0,11.0,43.0,15.0,1.0,1317.0,20.0,133.0,672.0,681.0,117.0,1293.0,160.0,215.0,2597.2,173.0,5.0,1142.0,8596.0,5679.0,306.0,86.0,60.0,84.0,85.0,1439.0,1022.0,2684.1,150.0,2.0,0.0,0.0,43.0,13.0,4.0,0.0,2.1,2.1,66.0,Forward,False
Ademola Lookman,2747.0,880.0,1168.0,2579.2,14977.0,4309.0,419.0,491.0,2925.4,351.0,426.0,2722.7,86.0,178.0,1961.6,4.0,5.0,60.0,46.0,42.0,5.0,105.0,115.0,74.0,25.0,5.0,6.0,4.0,1.0,11.0,6.0,3.0,2.0,0.0,0.0,0.0,39.0,30.0,12.0,19.0,8.0,5.0,35.0,200.0,30.0,517.0,156.0,1055.2,110.0,230.0,177.0,42.0,2.0,0.0,40.0,25.0,64.0,13.0,0.0,1593.0,13.0,148.0,718.0,871.0,144.0,1441.0,82.0,129.0,1929.7,86.0,9.0,1229.0,6742.0,3891.0,220.0,63.0,41.0,78.0,84.0,1498.0,1097.0,2524.3,191.0,4.0,0.0,1.0,68.0,21.0,5.0,0.0,5.4,4.7,74.0,Forward,False
Adil Aouchiche,1731.0,594.0,827.0,2348.0,11181.0,3612.0,295.0,346.0,2932.5,177.0,231.0,2442.4,104.0,210.0,1640.4,5.0,5.2,58.0,55.0,27.0,8.0,59.0,94.0,50.0,32.0,1.0,2.0,7.0,2.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,38.0,21.0,11.0,13.0,14.0,14.0,50.0,540.0,36.0,390.0,109.0,1020.1,75.0,183.0,132.0,12.0,1.0,0.0,11.0,9.0,47.0,12.0,0.0,1064.0,14.0,156.0,554.0,444.0,47.0,936.0,33.0,62.0,1215.0,37.0,4.0,719.0,4413.0,2513.0,115.0,35.0,13.0,38.0,45.0,885.0,717.0,2743.6,83.0,2.0,0.0,0.0,27.0,12.0,2.0,0.0,3.0,3.0,67.0,Midfielder,False
Admir Mehmedi,820.0,347.0,442.0,1354.9,5595.0,1392.0,185.0,223.0,1398.1,119.0,142.0,1335.3,29.0,48.0,924.9,2.0,2.0,17.0,35.0,17.0,3.0,44.0,41.0,34.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,5.0,6.0,7.0,6.0,18.0,266.6,12.0,211.0,79.0,681.1,39.0,106.0,66.0,10.0,2.0,0.0,8.0,6.0,24.0,3.0,0.0,535.0,5.0,53.0,255.0,261.0,37.0,513.0,9.0,12.0,633.3,10.0,1.0,376.0,1548.0,687.0,50.0,16.0,6.0,15.0,15.0,518.0,392.0,1211.6,65.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.8,0.8,76.0,Midfielder,False
Adnan Januzaj,1014.0,409.0,573.0,1794.8,7647.0,2857.0,199.0,231.0,2121.3,137.0,173.0,1918.0,61.0,133.0,1072.2,5.0,4.3,24.0,32.0,38.0,8.0,67.0,55.0,33.0,11.0,5.0,1.0,5.0,0.0,10.0,6.0,2.0,0.0,0.0,2.0,0.0,12.0,6.0,2.0,8.0,2.0,1.0,6.0,100.0,5.0,107.0,30.0,740.3,11.0,62.0,34.0,9.0,2.0,0.0,7.0,5.0,17.0,5.0,0.0,752.0,8.0,59.0,360.0,400.0,50.0,684.0,41.0,65.0,1228.7,43.0,2.0,588.0,2944.0,1834.0,116.0,34.0,12.0,35.0,31.0,695.0,571.0,2122.0,86.0,4.0,3.0,3.0,29.0,9.0,2.0,0.0,5.1000000000000005,2.8000000000000003,80.0,Midfielder,False
Adrian Grbić,961.0,132.0,214.0,2066.7,1709.0,233.0,88.0,115.0,2169.3,29.0,52.0,1346.9,4.0,12.0,283.3,0.0,0.5,4.0,9.0,2.0,0.0,9.0,13.0,7.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,7.0,2.0,4.0,3.0,2.0,5.0,150.0,3.0,144.0,33.0,807.0,8.0,64.0,72.0,8.0,0.0,0.0,8.0,2.0,11.0,8.0,0.0,329.0,12.0,39.0,166.0,145.0,42.0,303.0,6.0,14.0,300.0,8.0,1.0,167.0,740.0,434.0,19.0,9.0,6.0,16.0,15.0,402.0,212.0,1815.3,66.0,4.0,3.0,3.0,31.0,11.0,2.0,0.0,5.9,3.6,71.0,Low Involvement,True
Adrien Hunou,589.0,149.0,195.0,1367.7,2032.0,205.0,89.0,108.0,1592.1,46.0,57.0,1362.7,5.0,10.0,400.0,0.0,0.5,4.0,3.0,5.0,1.0,7.0,12.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,2.0,2.0,1.0,7.0,100.0,6.0,110.0,40.0,720.1,15.0,34.0,61.0,7.0,0.0,0.0,7.0,1.0,8.0,3.0,0.0,272.0,3.0,13.0,106.0,162.0,37.0,262.0,2.0,3.0,200.0,2.0,0.0,153.0,655.0,275.0,16.0,5.0,3.0,17.0,7.0,358.0,215.0,1248.2,77.0,4.0,0.0,0.0,20.0,10.0,1.0,0.0,4.3,4.3,75.0,Low Involvement,True
Adrien Louveau,8.0,5.0,5.0,100.0,91.0,20.0,1.0,1.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,Low Involvement,True
Adrien Rabiot,2313.0,1339.0,1482.0,3086.0,23599.0,5617.0,594.0,653.0,3120.1,590.0,632.0,3159.0,132.0,147.0,2706.4,2.0,1.1,10.0,117.0,23.0,3.0,103.0,42.0,39.0,0.0,1.0,2.0,0.0,0.0,7.0,5.0,0.0,1.0,1.0,0.0,0.0,72.0,45.0,28.0,33.0,11.0,25.0,57.0,1167.1,32.0,485.0,144.0,1026.0,160.0,240.0,85.0,46.0,11.0,0.0,35.0,31.0,103.0,37.0,1.0,1760.0,97.0,481.0,1024.0,415.0,46.0,1723.0,26.0,40.0,1393.3,29.0,0.0,1236.0,8110.0,4059.0,142.0,56.0,9.0,21.0,28.0,1409.0,1301.0,3097.6,77.0,4.0,0.0,0.0,34.0,12.0,7.0,1.0,2.9,2.9,81.0,Defender,False
Adrien Silva,1599.0,839.0,959.0,2084.5,17222.0,4144.0,310.0,342.0,2171.7,346.0,387.0,2138.3,164.0,197.0,1821.9,1.0,1.0,10.0,80.0,8.0,0.0,66.0,29.0,28.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,49.0,26.0,25.0,22.0,2.0,13.0,45.0,456.7,32.0,497.0,142.0,670.7,166.0,254.0,77.0,39.0,3.0,0.0,36.0,34.0,83.0,14.0,0.0,1136.0,43.0,288.0,718.0,193.0,7.0,1089.0,10.0,15.0,580.0,10.0,0.0,701.0,2751.0,1285.0,55.0,15.0,0.0,12.0,18.0,782.0,728.0,2221.1,22.0,1.0,0.0,0.0,6.0,1.0,8.0,1.0,0.4,0.4,76.0,Midfielder,False
Adrien Tameze,2304.0,821.0,1024.0,2640.9,15283.0,3281.0,343.0,410.0,2749.2,354.0,412.0,2818.1,107.0,162.0,2167.3,0.0,1.8,15.0,70.0,25.0,2.0,87.0,35.0,27.0,0.0,3.0,0.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,53.0,41.0,26.0,24.0,3.0,12.0,34.0,661.7,22.0,449.0,143.0,995.5,132.0,232.0,85.0,50.0,9.0,0.0,41.0,35.0,88.0,55.0,2.0,1307.0,58.0,297.0,773.0,311.0,22.0,1276.0,36.0,50.0,1330.1,39.0,2.0,820.0,4207.0,2040.0,88.0,29.0,3.0,28.0,28.0,896.0,753.0,2770.1,77.0,1.0,0.0,0.0,17.0,3.0,6.0,0.0,1.4,1.4,73.0,Defender,False
