Name,Min,Cmp,PassAtt,Cmp%,PassTotDist,PassPrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,PassFinThird,PPA,CrsPA,PassProg,SCA,PassLiveShot,PassDeadShot,DribShot,ShLSh,Fld,DefShot,GCA,PassLiveGoal,PassDeadGoal,DribGoal,ShGoal,FldGoal,DefGoal,Tkl,TklW,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTackled,DribContest,DribTackled%,Past,Press,SuccPress,SuccPress%,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,BlockSh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,TouchDef3rd,TouchMid3rd,TouchAtt3rd,AttPen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,ProgCarries,CarriesFinThird,CPA,Mis,Dis,Targ,Rec,Rec%,ProgPassRec,Gls,PK,PKatt,Sh,SoT,CrdY,CrdR,xG,npxG,rating21,Position,IsLowInvolvement
Daniel Jebbison,284.0,24.0,34.0,270.3,308.0,38.0,16.0,21.0,318.1,6.0,9.0,260.0,1.0,2.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,3.0,50.0,2.0,60.0,9.0,46.0,3.0,28.0,29.0,7.0,1.0,0.0,6.0,3.0,7.0,0.0,0.0,76.0,1.0,8.0,35.0,35.0,5.0,75.0,2.0,3.0,100.0,2.0,0.0,35.0,111.0,53.0,3.0,0.0,1.0,9.0,7.0,136.0,39.0,123.7,8.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.6,1.6,57.0,Low Involvement,True
Daniel Maldini,29.0,15.0,17.0,363.3,268.0,100.0,7.0,7.0,400.0,5.0,7.0,316.7,2.0,2.0,200.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,16.0,7.0,168.3,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,4.0,8.0,12.0,1.0,21.0,1.0,1.0,100.0,1.0,0.0,15.0,95.0,80.0,2.0,1.0,0.0,1.0,0.0,21.0,15.0,252.2,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,59.0,Low Involvement,True
Daniel Parejo,3112.0,2435.0,2753.0,3170.3,48358.0,14986.0,991.0,1072.0,3316.7,1023.0,1091.0,3372.2,398.0,531.0,2690.3,5.0,5.1,45.0,268.0,51.0,8.0,258.0,102.0,69.0,29.0,1.0,1.0,0.0,2.0,12.0,8.0,2.0,1.0,1.0,0.0,0.0,73.0,56.0,32.0,33.0,8.0,22.0,77.0,731.6,55.0,673.0,200.0,1071.7,199.0,333.0,141.0,56.0,8.0,0.0,48.0,34.0,107.0,29.0,0.0,3029.0,84.0,630.0,1871.0,683.0,30.0,2817.0,32.0,43.0,1883.4,33.0,4.0,2035.0,8424.0,4047.0,173.0,44.0,5.0,20.0,27.0,2372.0,2277.0,3447.9,52.0,3.0,0.0,0.0,26.0,9.0,4.0,0.0,1.4,1.4,85.0,Defender,False
Daniel Podence,1661.0,478.0,636.0,1808.7,8742.0,2328.0,240.0,285.0,2007.3,166.0,219.0,1848.7,64.0,96.0,1550.8,2.0,2.0,23.0,45.0,21.0,3.0,66.0,61.0,42.0,1.0,10.0,1.0,6.0,1.0,7.0,3.0,0.0,4.0,0.0,0.0,0.0,18.0,7.0,5.0,8.0,5.0,6.0,23.0,340.0,17.0,243.0,66.0,582.5,65.0,105.0,73.0,7.0,1.0,0.0,6.0,15.0,33.0,6.0,0.0,818.0,10.0,105.0,414.0,373.0,66.0,793.0,37.0,65.0,1112.2,42.0,7.0,646.0,3275.0,1920.0,87.0,27.0,19.0,29.0,30.0,820.0,620.0,1800.1,92.0,3.0,0.0,0.0,32.0,14.0,3.0,0.0,3.2,3.2,78.0,Midfielder,False
Daniel Wass,2979.0,1267.0,1641.0,2687.6,22890.0,8551.0,563.0,659.0,2995.5,543.0,649.0,2855.3,142.0,277.0,1805.3,1.0,2.2,38.0,113.0,24.0,7.0,140.0,66.0,56.0,5.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,54.0,35.0,20.0,32.0,2.0,14.0,52.0,611.5,38.0,346.0,94.0,958.3,134.0,163.0,49.0,59.0,15.0,1.0,44.0,29.0,83.0,73.0,0.0,1949.0,114.0,520.0,1046.0,485.0,42.0,1770.0,12.0,17.0,900.0,12.0,0.0,1022.0,4828.0,2496.0,99.0,43.0,5.0,22.0,20.0,1388.0,1230.0,3110.6,72.0,4.0,1.0,1.0,37.0,10.0,8.0,0.0,2.8,2.1,80.0,Defender,False
Daniele Baselli,396.0,170.0,226.0,1136.6,3366.0,1116.0,70.0,87.0,1012.9,62.0,79.0,1168.5,31.0,45.0,824.2,0.0,0.4,9.0,20.0,4.0,0.0,25.0,13.0,8.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,2.0,6.0,3.0,5.0,9.0,383.3,4.0,103.0,36.0,325.1,36.0,47.0,20.0,5.0,0.0,0.0,5.0,6.0,17.0,6.0,0.0,272.0,8.0,63.0,163.0,61.0,3.0,248.0,5.0,7.0,300.0,5.0,0.0,154.0,913.0,442.0,19.0,5.0,1.0,4.0,2.0,184.0,165.0,1233.7,10.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.3,0.3,77.0,Low Involvement,True
Daniele Rugani,1091.0,452.0,560.0,1229.8,8556.0,2854.0,154.0,179.0,1300.7,246.0,276.0,1244.0,48.0,92.0,708.5,1.0,0.4,1.0,20.0,2.0,0.0,28.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,12.0,14.0,3.0,8.0,19.0,391.7,11.0,177.0,57.0,446.2000000000001,79.0,90.0,8.0,23.0,12.0,0.0,11.0,15.0,44.0,57.0,0.0,685.0,81.0,321.0,356.0,47.0,11.0,665.0,4.0,4.0,400.0,4.0,0.0,407.0,1810.0,888.0,22.0,7.0,0.0,2.0,6.0,411.0,404.0,1372.4,4.0,1.0,0.0,0.0,4.0,2.0,3.0,0.0,0.4,0.4,80.0,Midfielder,False
Daniele Verde,980.0,307.0,399.0,1663.1,5767.0,1058.0,140.0,168.0,1498.5,125.0,151.0,1809.3,40.0,72.0,1070.2,1.0,1.4,10.0,9.0,11.0,2.0,25.0,24.0,20.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,3.0,11.0,300.0,8.0,82.0,25.0,633.5,13.0,28.0,41.0,11.0,0.0,0.0,11.0,8.0,12.0,8.0,0.0,504.0,9.0,54.0,211.0,274.0,59.0,471.0,10.0,16.0,566.7,10.0,1.0,371.0,2311.0,1069.0,80.0,13.0,16.0,11.0,12.0,498.0,377.0,1577.6,58.0,6.0,0.0,0.0,34.0,16.0,1.0,0.0,3.2,3.2,73.0,Low Involvement,True
Danilo,2916.0,2194.0,2484.0,2991.3,44145.0,13674.0,736.0,800.0,3130.3,1137.0,1238.0,3108.8,305.0,406.0,2472.6,4.0,3.2,27.0,229.0,33.0,9.0,175.0,60.0,57.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,60.0,37.0,39.0,13.0,8.0,24.0,59.0,896.7,35.0,249.0,80.0,1082.5,134.0,85.0,30.0,54.0,13.0,0.0,41.0,44.0,104.0,82.0,0.0,2747.0,163.0,909.0,1577.0,415.0,24.0,2560.0,20.0,22.0,1550.0,20.0,1.0,1879.0,8714.0,4925.0,199.0,42.0,5.0,13.0,12.0,2077.0,2025.0,3308.3,29.0,1.0,0.0,0.0,18.0,2.0,6.0,0.0,1.0,1.0,74.0,Defender,False
Danilo Barbosa,250.0,178.0,202.0,367.1,3693.0,965.0,48.0,57.0,330.8,101.0,105.0,390.6,28.0,37.0,324.7,0.0,0.0,1.0,9.0,1.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,0.0,3.0,7.0,150.0,4.0,20.0,7.0,128.6,11.0,8.0,1.0,3.0,1.0,0.0,2.0,1.0,6.0,13.0,1.0,229.0,34.0,125.0,115.0,4.0,1.0,227.0,1.0,1.0,100.0,1.0,0.0,163.0,1152.0,653.0,20.0,0.0,0.0,1.0,1.0,170.0,168.0,365.3,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.2,0.2,74.0,Low Involvement,True
Danilo Cataldi,568.0,356.0,432.0,1456.7,6477.0,2137.0,146.0,156.0,1529.3,160.0,180.0,1438.5,42.0,84.0,804.6,0.0,0.1,4.0,35.0,8.0,2.0,40.0,13.0,9.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,2.0,5.0,2.0,2.0,21.0,70.0,19.0,125.0,34.0,379.4,34.0,66.0,25.0,6.0,1.0,0.0,5.0,9.0,18.0,4.0,0.0,470.0,18.0,119.0,255.0,123.0,7.0,427.0,8.0,10.0,400.0,8.0,0.0,295.0,1637.0,809.0,33.0,9.0,1.0,5.0,1.0,342.0,323.0,1539.9,16.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.3,0.3,73.0,Low Involvement,True
Danilo D'Ambrosio,699.0,438.0,486.0,1627.3,8305.0,2517.0,172.0,185.0,1643.5,211.0,225.0,1529.3,50.0,61.0,1087.7,0.0,0.1,1.0,30.0,4.0,2.0,27.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,6.0,8.0,2.0,6.0,13.0,183.3,7.0,93.0,34.0,599.0,32.0,48.0,13.0,13.0,7.0,0.0,6.0,6.0,22.0,16.0,0.0,555.0,67.0,234.0,270.0,80.0,10.0,521.0,1.0,2.0,100.0,1.0,0.0,364.0,1534.0,918.0,29.0,8.0,0.0,10.0,4.0,436.0,413.0,1615.1,13.0,3.0,0.0,0.0,8.0,6.0,2.0,0.0,1.4,1.4,77.0,Low Involvement,True
