Name,Position,Wins,Hybrid Rating
Arthur Masuaku,Defender,26,-0.11609953623474994
Ben Johnson,Defender,1,-0.21369759656554094
Ajibola Alese,Defender,0,-0.23180370760202038
Harrison Ashby,Defender,0,-0.22958541619115666
Felipe Anderson,Midfielder,20,0.07947851771588456
Manuel Lanzini,Midfielder,39,0.3334825482835076
Robert Snodgrass,Midfielder,43,0.43232133739029704
Mark Noble,Midfielder,130,0.7846300482383535
Pablo Fornals,Midfielder,10,-0.10261030539752541
Jack Wilshere,Midfielder,87,0.35078476638219674
Declan Rice,Midfielder,33,0.06197100147685782
Josh Cullen,Midfielder,2,-0.2371736534286971
Conor Coventry,Midfielder,0,-0.2340219990128842
Michail Antonio,Forward,46,0.3697110919659226
Andriy Yarmolenko,Forward,10,-0.16746703002512198
Jarrod Bowen,Forward,4,-0.16152945845105401
Sébastien Haller,Forward,9,-0.14319649212191607
Xande Silva,Forward,0,-0.2387952826435872
Emmanuel Longelo,Forward,0,-0.23180370760202038
Rui Patrício,Goalkeeper,31,0.025216584710405644
John Ruddy,Goalkeeper,33,0.19899038158165225
Willy Boly,Defender,24,-0.16619527851290522
Conor Coady,Defender,33,-0.04103125163675977
Jonny,Defender,27,-0.04563642548458862
Rúben Vinagre,Defender,14,-0.1707591881376399
Maximilian Kilman,Defender,2,-0.22080197238229415
Oskar Buur,Defender,1,-0.2365886883001179
Marçal,Defender,1,-0.24154177090838855
Ki-Jana Hoever,Defender,0,-0.22958541619115666
Rúben Neves,Midfielder,30,0.09036725679722499
Daniel Podence,Midfielder,5,-0.18321472257826826
Romain Saïss,Midfielder,24,-0.13539909220985483
João Moutinho,Midfielder,32,0.07528635902288015
Leander Dendoncker,Midfielder,26,-0.04152928239150048
Vitinha,Midfielder,1,-0.23204944542631675
Meritan Shabani,Midfielder,0,-0.23624029042374792
Pedro Neto,Forward,14,-0.13336807981428672
Raúl Jiménez,Forward,32,0.19265847334207029
Adama Traoré,Forward,27,0.02297821614360674
Fábio Silva,Forward,0,-0.22971089024286154
Leonardo Campana,Forward,0,-0.2340219990128842
