Name,Position,Wins,Hybrid Rating
Fikayo Tomori,Defender,9,-0.16763620139677093
Emerson,Defender,11,-0.17255364415199376
Ben Chilwell,Defender,40,0.04555271125457358
Thiago Silva,Defender,0,-0.2695146615867042
Juan Castillo,Defender,0,-0.2340219990128842
Hakim Ziyech,Midfielder,0,-0.24955003888893043
Jorginho,Midfielder,37,0.054490068162398736
N'Golo Kanté,Midfielder,98,0.4458599022931113
Ross Barkley,Midfielder,91,0.8131673888438008
Ruben Loftus-Cheek,Midfielder,35,0.06082668531993878
Mateo Kovacic,Midfielder,34,0.010316482323513213
Mason Mount,Midfielder,20,-0.02050936781622569
Christian Pulisic,Midfielder,13,-0.05161979440208153
Billy Gilmour,Midfielder,5,-0.2062948811041242
Kai Havertz,Midfielder,1,-0.21680283183711138
Timo Werner,Forward,1,-0.23567586942334917
Tammy Abraham,Forward,25,0.03975608297444991
Olivier Giroud,Forward,133,0.8010062001562187
Callum Hudson-Odoi,Forward,18,-0.11173491175945915
Wayne Hennessey,Goalkeeper,47,0.5400408364785642
Vicente Guaita,Goalkeeper,23,0.003035677823449193
Stephen Henderson,Goalkeeper,0,-0.2606414959432492
Nathan Ferguson,Defender,0,-0.23180370760202038
Joel Ward,Defender,66,0.17911310166316047
Patrick van Aanholt,Defender,57,0.2913545500863266
James Tomkins,Defender,84,0.2634815864868293
Scott Dann,Defender,74,0.30662580731665867
Mamadou Sakho,Defender,52,0.060206724543188685
Gary Cahill,Defender,166,0.6436735963794388
Martin Kelly,Defender,55,0.06146954899421697
Tyrick Mitchell,Defender,2,-0.21606219221352976
Jaroslaw Jach,Defender,0,-0.24733174747806672
Sam Woods,Defender,0,-0.23845858183461163
Ryan Inniss,Defender,0,-0.2451134560672029
Luka Milivojevic,Midfielder,41,0.13672661325054047
Max Meyer,Midfielder,11,-0.1382680942050836
Cheikhou Kouyaté,Midfielder,64,0.28433967377885
Andros Townsend,Midfielder,78,0.6183537741860701
Jeffrey Schlupp,Midfielder,56,0.11441247807475201
James McArthur,Midfielder,93,0.5922899176181191
James McCarthy,Midfielder,87,0.4638555657656366
Jairo Riedewald,Midfielder,8,-0.17468743892392308
Eberechi Eze,Midfielder,2,-0.20896309118985465
Nya Kirby,Midfielder,0,-0.2340219990128842
Jordan Ayew,Forward,37,-0.004046492750865643
Wilfried Zaha,Forward,70,0.43875240335480004
Christian Benteke,Forward,73,0.3656598689059548
Connor Wickham,Forward,29,0.07729017379994016
Brandon Pierrick,Forward,0,-0.2276472391059786
Michy Batshuayi,Forward,37,-0.05138172832495643
Jordan Pickford,Goalkeeper,48,0.39525153097158294
João Virgínia,Goalkeeper,0,-0.2340219990128842
Jonas Lössl,Goalkeeper,12,-0.008776318762216509
Mason Holgate,Defender,28,-0.04252838301319034
Michael Keane,Defender,53,0.2225859778100713
Lucas Digne,Defender,28,-0.005915093510980827
Yerry Mina,Defender,17,-0.11645040376144224
Séamus Coleman,Defender,114,0.5199292062548801
Jarrad Branthwaite,Defender,1,-0.19897908498667943
Jonjoe Kenny,Defender,11,-0.154933396951938
Niels Nkounkou,Defender,0,-0.23180370760202038
Fabian Delph,Midfielder,76,0.14643702283731325
