Resolved_Position,Raw_Wikipedia_Position,Override_Flag,Position,Name,Min,Cmp,PassAtt,Cmp%,PassTotDist,PassPrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,PassFinThird,PPA,CrsPA,PassProg,SCA,PassLiveShot,PassDeadShot,DribShot,ShLSh,Fld,DefShot,GCA,PassLiveGoal,PassDeadGoal,DribGoal,ShGoal,FldGoal,DefGoal,Tkl,TklW,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTackled,DribContest,DribTackled%,Past,Press,SuccPress,SuccPress%,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,BlockSh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,TouchDef3rd,TouchMid3rd,TouchAtt3rd,AttPen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,ProgCarries,CarriesFinThird,CPA,Mis,Dis,Targ,Rec,Rec%,ProgPassRec,Gls,PK,PKatt,Sh,SoT,CrdY,CrdR,xG,npxG,rating21,IsLowInvolvement,Def Score Z,Att Score Z,Final Position
Unknown,Unknown,False,Defender,Abdoulaye Doucouré,2443.0,1146.0,1332.0,2446.0,20026.0,4093.0,517.0,588.0,2514.7,482.0,534.0,2589.8,117.0,147.0,2127.3,3.0,2.3000000000000003,18.0,69.0,21.0,1.0,65.0,41.0,36.0,1.0,1.0,1.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,56.0,42.0,30.0,19.0,7.0,17.0,45.0,883.4,28.0,544.0,158.0,885.4,228.0,219.0,97.0,43.0,9.0,0.0,34.0,35.0,91.0,29.0,1.0,1578.0,62.0,463.0,880.0,347.0,39.0,1565.0,17.0,28.0,926.7,18.0,2.0,968.0,4877.0,2436.0,81.0,33.0,1.0,30.0,30.0,1203.0,1064.0,2530.2,79.0,2.0,0.0,0.0,18.0,5.0,6.0,0.0,2.0,2.0,78.0,False,1.4369867603249966,0.3779420431324847,Defender
Unknown,Unknown,False,Low Involvement,Abdoulaye Sidibé,11.0,1.0,2.0,50.0,12.0,12.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,8.0,2.0,25.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,8.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,True,-1.2604116907274792,-1.132177834602794,Midfielder
Unknown,Unknown,False,Low Involvement,Abdoulaye Sylla,8.0,3.0,6.0,50.0,49.0,3.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,9.0,1.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,True,-1.1668305778621435,-1.1464714444251818,Midfielder
Unknown,Unknown,False,Midfielder,Abdoulaye Touré,1681.0,799.0,939.0,2190.0,14791.0,3271.0,328.0,380.0,2140.7,363.0,415.0,2282.5,94.0,121.0,1950.7,2.0,1.7000000000000002,16.0,85.0,7.0,0.0,71.0,39.0,32.0,0.0,2.0,2.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,14.0,12.0,4.0,6.0,29.0,350.0,23.0,283.0,76.0,649.4,73.0,161.0,49.0,28.0,6.0,0.0,22.0,16.0,46.0,26.0,0.0,1145.0,37.0,203.0,770.0,236.0,21.0,1140.0,17.0,32.0,958.4,20.0,3.0,748.0,3197.0,1540.0,75.0,28.0,0.0,20.0,20.0,905.0,823.0,2556.8,27.0,2.0,1.0,1.0,26.0,4.0,2.0,0.0,2.4000000000000004,1.6,75.0,False,-0.0224084911730316,0.4594156191200955,Midfielder
Unknown,Unknown,False,Low Involvement,Abdul Majeed Waris,552.0,106.0,140.0,997.5,1595.0,220.0,63.0,76.0,1063.2,33.0,39.0,780.6,7.0,13.0,350.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,6.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,55.0,15.0,409.0,16.0,25.0,14.0,5.0,1.0,0.0,4.0,3.0,4.0,3.0,0.0,219.0,4.0,27.0,105.0,108.0,23.0,217.0,8.0,15.0,533.3,8.0,1.0,170.0,931.0,621.0,34.0,15.0,6.0,11.0,18.0,262.0,171.0,872.7,47.0,1.0,1.0,1.0,9.0,2.0,0.0,0.0,1.6,0.8999999999999999,73.0,True,-1.2123724067291044,-0.9499343093673486,Midfielder
Unknown,Unknown,False,Low Involvement,Aboubakar Kamara,872.0,205.0,279.0,1557.6,3202.0,728.0,105.0,128.0,1668.8,69.0,88.0,1356.4,15.0,38.0,638.7,0.0,1.2,14.0,8.0,9.0,4.0,20.0,29.0,19.0,0.0,5.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,1.0,1.0,11.0,50.0,10.0,183.0,34.0,418.4,22.0,85.0,76.0,11.0,1.0,0.0,10.0,3.0,8.0,5.0,0.0,411.0,4.0,34.0,202.0,210.0,23.0,399.0,19.0,33.0,832.1,19.0,1.0,307.0,1412.0,766.0,41.0,13.0,2.0,28.0,28.0,473.0,308.0,1423.3,56.0,1.0,0.0,0.0,15.0,5.0,2.0,2.0,1.1,1.1,70.0,True,-0.8950486959141516,-0.5647215246539954,Midfielder
Defender,Right-back / Winger,True,Forward,Achraf Hakimi,2665.0,1279.0,1550.0,2942.8,20216.0,6794.0,708.0,799.0,3076.9,440.0,513.0,3034.7,97.0,151.0,2288.4,8.0,6.8,36.0,60.0,50.0,21.0,124.0,75.0,59.0,4.0,3.0,0.0,9.0,0.0,18.0,15.0,0.0,0.0,0.0,3.0,0.0,52.0,30.0,26.0,18.0,8.0,24.0,56.0,1221.7,32.0,500.0,145.0,1023.8,183.0,170.0,147.0,40.0,1.0,0.0,39.0,25.0,77.0,28.0,0.0,1863.0,50.0,389.0,716.0,867.0,137.0,1645.0,36.0,67.0,1313.4,40.0,8.0,1255.0,6621.0,4411.0,221.0,51.0,36.0,44.0,33.0,1499.0,1296.0,3111.7,163.0,7.0,0.0,0.0,38.0,15.0,6.0,0.0,4.5,4.5,83.0,False,1.8193912136820896,1.6607935246917962,Forward
Unknown,Unknown,False,Midfielder,Adam Lallana,1596.0,793.0,936.0,2453.4,12397.0,2974.0,413.0,460.0,2674.0,294.0,339.0,2494.3,56.0,83.0,1578.5,1.0,2.9,27.0,58.0,28.0,3.0,83.0,48.0,44.0,0.0,0.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,32.0,26.0,15.0,12.0,5.0,10.0,48.0,460.0,38.0,339.0,113.0,1009.7,112.0,153.0,74.0,26.0,3.0,0.0,23.0,16.0,48.0,14.0,0.0,1106.0,33.0,240.0,556.0,382.0,70.0,1086.0,15.0,24.0,883.3,15.0,0.0,780.0,3552.0,1916.0,81.0,21.0,12.0,18.0,17.0,964.0,812.0,2463.3,102.0,1.0,0.0,0.0,22.0,4.0,0.0,0.0,2.5,2.5,77.0,False,0.2493733907749603,0.5609002488590494,Forward
Unknown,Unknown,False,Defender,Adam Marušić,2966.0,1352.0,1619.0,2928.8,24779.0,7562.0,593.0,667.0,3166.6,560.0,634.0,3091.1,172.0,256.0,2238.9,3.0,2.1,32.0,68.0,28.0,17.0,90.0,58.0,50.0,1.0,1.0,5.0,0.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,50.0,28.0,29.0,18.0,3.0,19.0,41.0,1183.4,22.0,309.0,93.0,984.4,139.0,117.0,53.0,56.0,6.0,0.0,50.0,48.0,98.0,66.0,1.0,1912.0,111.0,605.0,911.0,550.0,66.0,1721.0,27.0,54.0,1096.6,28.0,1.0,1216.0,7369.0,3968.0,160.0,49.0,10.0,18.0,23.0,1411.0,1241.0,3092.7,107.0,2.0,0.0,0.0,27.0,12.0,3.0,0.0,2.0,2.0,77.0,False,1.6132777107777485,0.933963465223373,Forward
Unknown,Unknown,False,Forward,Adam Ounas,1507.0,472.0,615.0,1669.1,9556.0,2376.0,184.0,217.0,1886.2,194.0,235.0,1665.2,84.0,132.0,1216.1,4.0,4.6,28.0,43.0,36.0,6.0,76.0,57.0,40.0,4.0,9.0,1.0,3.0,0.0,9.0,6.0,1.0,2.0,0.0,0.0,0.0,10.0,5.0,5.0,3.0,2.0,4.0,16.0,300.0,12.0,231.0,42.0,379.9,60.0,108.0,63.0,19.0,2.0,0.0,17.0,14.0,24.0,5.0,0.0,842.0,5.0,111.0,472.0,376.0,58.0,806.0,66.0,95.0,1389.8,68.0,3.0,701.0,4037.0,2529.0,102.0,51.0,17.0,30.0,54.0,796.0,627.0,1752.0,97.0,4.0,0.0,0.0,31.0,10.0,1.0,0.0,3.3000000000000003,3.3000000000000003,74.0,False,-0.36764493580967,0.6988335836450923,Forward
